Filename,Label,0次_i0,1次_i0,2次_i0,3次_i0,4次_i0,5次_i0
外力破坏_160601062826.etr-13,外力破坏,37.9039683,303.4208245,10.31102321,6.603915817,5.723180427,4.240230577
外力破坏_160912145036.etr-19,外力破坏,1.997295622,61.81863981,0.118584835,0.262407172,0.071951572,0.093441291
外力破坏_2015年09月13日14时50分34秒.etr-20,外力破坏,0.16529509,26.63634709,0.058657465,0.129179749,0.027647521,0.084840926
外力破坏_2016-03-13@00-46-02.#1A42.etr-5,外力破坏,34.6826567,256.1453926,7.001270724,4.951451938,4.161457764,3.236992976
外力破坏_2016-03-13_00-45-02_ACT_220kV线路故障~.etr-4,外力破坏,34.4971867,271.9381651,7.519718875,4.369290808,4.3843354,3.051065813
外力破坏_2016-03-22@23-19-03.#313.etr-6,外力破坏,1.758224179,28.29974039,0.886636359,0.510261905,0.233865375,0.295701887
外力破坏_2016-03-22@23-21-43.#AF2.etr-7,外力破坏,0.244783847,27.08513196,0.868409031,0.455622459,0.254992637,0.258835565
外力破坏_2016-03-22_23-19-03_ACT_220kV惠秋甲线~.etr-8,外力破坏,1.758224228,28.29974138,0.886636403,0.510262114,0.233864957,0.29570184
外力破坏_2016-10-05_10-51-16_ACT_12597#录波器.etr-26,外力破坏,1.594798006,72.5006966,1.034175613,1.361341711,0.223779077,0.575400242
外力破坏_2016-11-03@15-48-55.#F8AACB.etr-1,外力破坏,3.693995304,73.75772113,1.116901125,0.942777135,1.09083101,0.967302443
外力破坏_20160601080639.etr-12,外力破坏,43.03860405,99.54209176,88.74230661,36.52763489,20.35212138,22.84491047
外力破坏_2016年01月08日02时21分02秒_SSH991.etr-2,外力破坏,74.2443773,1167.280663,19.88515127,9.328350327,18.27636277,7.999719539
外力破坏_2016年03月06日13时59分55秒.etr-3,外力破坏,0.253023857,62.71131821,0.369465778,1.640275707,0.159209019,0.480468718
外力破坏_2016年05月06日10时11分48秒.etr-10,外力破坏,7.157348459,85.98040156,1.354229233,0.799126739,0.645984867,0.663415581
外力破坏_2016年05月06日10时13分52秒.etr-11,外力破坏,5.73640548,66.91866548,1.185799594,0.742307231,0.592647363,0.602736872
外力破坏_2016年06月23日14时50分27秒_SSH088.etr-14,外力破坏,0.317778019,2.143562051,0.030243249,0.032175257,0.016132769,0.019512973
外力破坏_2016年07月20日09时08分05秒.etr-15,外力破坏,22.91721296,158.4529946,2.677743451,1.6255731,1.881301219,1.287877792
外力破坏_2016年07月20日09时26分14秒.etr-16,外力破坏,0.782095263,109.0602474,23.19169801,15.90407398,9.507431925,5.967494968
外力破坏_2016年08月31日07时40分23秒.etr-17,外力破坏,6.020518831,77.9106797,0.665800524,0.469630592,0.31533361,0.324164566
外力破坏_2016年08月31日07时40分23秒.etr-18,外力破坏,5.343373597,74.98970897,0.574142366,0.435819984,0.326332484,0.218274975
外力破坏_2016年09月13日10时26分50秒.etr-22,外力破坏,1.07620587,28.55977544,0.258047393,0.112724135,0.16600285,0.103375187
外力破坏_2016年09月24日14时30分57秒.etr-23,外力破坏,8.944061852,57.08625006,1.870989026,1.131088058,1.061060186,0.766822467
外力破坏_2016年09月24日14时30分57秒.etr-24,外力破坏,8.078860068,53.15970875,1.784235318,1.130541507,1.042109832,0.841374043
外力破坏_2016年10月05日10时47分32秒.etr-25,外力破坏,0.485540096,14.78832289,0.198649261,0.280461556,0.044528988,0.114627087
外力破坏_2017-04-13@08-34-30.#475.etr-37,外力破坏,13.54692554,99.43387339,2.932823137,1.970179097,1.795494344,1.417608201
外力破坏_2017-04-13_08-14-49_sta_SH3998.etr-36,外力破坏,7.53823E+14,1.23215E+14,0.116760312,1.46297E+13,0.083425066,6.03058E+12
外力破坏_2017-04-13_08-34-30_ACT_17987#录波装置.etr-38,外力破坏,13.54692009,99.43382426,2.932824237,1.970178783,1.795491475,1.417605764
外力破坏_2017-05-21@09-15-22.#1015.etr-41,外力破坏,5.43E-05,0.000257285,0.00010978,8.67E-05,0.000456584,0.000231728
